_id,grower_farm_field,crop_name,experiment_id
60ba61c24f859b25d118deb0,Stuart Briggerman_Briggerman West_19,CORN,Capture 2
60c8cb10a7ff1d1b48e48d1e,rye randolph_randolph farms_holthouse,CORN,collection 3
60ad7a570f1a5b8b2d936df9,john haug_home_across creek,CORN,capture 5
60bf6ef227719b42d609e573,tc groves_cornsilk farms_floys,CORN,capture 4
609da88a79f30b24c8689dca,carson stewart_greenway test farm_northwest pivot,CORN,Capture 1
60c8d01999976e978cfbc76a,rye randolph_randolph farms_holthouse,CORN,collection 3
60ba5e21c5867527a6efb23d,Stuart Briggerman_Briggerman West_19,CORN,Capture 7
5f928273d208ae9d2d53023d,Test_Test_Test,CORN,Test
609a02a7b45aada9abdc1b63,whitaker_germania_1,CORN,capture 3
60c8e67483192ee1ec0c8d24,rye randolph_randolph farms_holthouse,CORN,collection 7
60bf738631ba107f735c66ff,tc groves_cornsilk farms_floys,CORN,capture 5
60baae4366388bdcb31f5850,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 5
60ad382f87f614f7c43f33ed,john haug_John home_southwest,CORN,capture 4
60baadc9b63c52b041396ae9,Stuart Briggman_Briggman west_8,CORN,Capture 8
607899d67f46167437fc9a46,Condrey_Clearfield_C7,CORN,Run6
60baa85c99999474c91e04c5,Stuart Briggerman_Briggerman West_19,CORN,Capture 9
609dc68d49951d69a78abc39,carson stewart_greenway test farm_northwest pivot,CORN,Capture 9
60ba6bf9e6090ba0731a2b0e,Stuart Briggman_Briggman west_8,CORN,Capture 2
60a305515708e9e329a75be6,Wrights_TAMU Greenville_North Center,CORN,Collection 1
60ad8269189ad703a7bc20a8,john haug_home_across creek,CORN,capture 7
60bad5184f859b25d11a6fca,Stuart Briggerman_Briggerman West_19,CORN,Capture 5
60bab5cd96aa951d5139f917,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 7
60bf65230faba98d0fdb3e94,tc groves_cornsilk farms_floys,CORN,capture 1
60d2c0c945a67ea7c5a9357c,chris vonholten_von holten_symonds,CORN,capture5
60ba8ec631ba107f73561fcd,Stuart Briggman_Briggman west_8,CORN,Capture 3
609d633c642ae85d09266a6e,carson stewart_greenway test farm_furrow north,CORN,Capture 2
60a30875320d94a72f408367,Wrights_TAMU Greenville_North Center,CORN,Collection 1
60ad3ee7e5a05ae6fb672450,john haug_John home_southwest,CORN,capture 2
609a09448402336407ca1745,whitaker_germania_1,CORN,capture 5
609d99473b89e106ce116f82,carson stewart_greenway test farm_northwest pivot,CORN,Capture 5
60ad721c341b2d6a9784bc1b,john haug_home_across creek,CORN,capture 1
609a1122387a19a3fc548951,whitaker_germania_1,CORN,capture 7
60ad700ea0572eba95343235,john haug_home_across creek,CORN,capture 5
609d4949f25217490ac71244,carson stewart_greenway test farm_furrow north,CORN,Capture 5
60bb6da1947e2090e1075e79,Stuart Briggman_Briggman west_8,CORN,Capture 1
60d2b84b24b1d3492012fb70,chris vonholten_von holten_symonds,CORN,capture3
60d3322384c321b0830a4c49,chris vonholten_von holten_symonds,CORN,capture2
60ba5c82e6090ba07319d04a,Stuart Briggerman_Briggerman West_19,CORN,Capture 6
609d78b0eac18e126bd37626,carson stewart_greenway test farm_northwest pivot,CORN,Capture 5
6099f7063f810ceb80e18b3c,whitaker_germania_1,CORN,capture 7
60bae0fc886c208be8d50fff,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 1
609d754179f30b24c86869e0,carson stewart_greenway test farm_furrow north,CORN,Capture 4
60ad8d574ba50646f42a68d6,john haug_John home_southwest,CORN,capture 7
60bab1379d67582bedb3d1d0,Stuart Briggman_Briggman west_8,CORN,Capture 8
60c904cf56d58ea785162885,rye randolph_randolph farms_holthouse,CORN,collection 4
60adc79700eaad0acd0e0638,john haug_home_across creek,CORN,capture 2
60a3086f6cad1c07dc1d3a17,Wrights_TAMU Greenville_North Center,CORN,Collection 4
60ad796cd6bb6973f7f1bb5e,john haug_John home_southwest,CORN,capture5
60ad3fd3656b749f85864fb2,john haug_home_across creek,CORN,capture 4
60ba5e76c5867527a6efb430,Stuart Briggman_Briggman west_8,CORN,Capture 4
6078895ad476b2a79dd90e84,Condrey_Clearfield_C7,CORN,Run6
60a2f56dfc63b95e2c964e46,Wrights_TAMU Greenville_North Center,CORN,Collection 3
60ba6dea31ba107f7354c68b,Stuart Briggerman_Briggerman West_19,CORN,Capture 2
60d2c0d6a1a6845084bcab34,chris vonholten_von holten_symonds,CORN,capture5
60bf617c34a565f6115b98d9,tc groves_cornsilk farms_floys,CORN,capture 5
60ba732031ba107f735500e4,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 3
60baa82166388bdcb31f402d,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 6
6078f256205827a95181b4af,Condrey_Clearfield_C7,CORN,Run5
60adb199c9d98394efe656c7,john haug_John home_southwest,CORN,capture 3
609ccee551983efa60314e54,carson stewart_greenway test farm_furrow north,CORN,Capture 3
6099bc86387a19a3fc54675b,whitaker_germania_1,CORN,capture 4
60baa625abc2a1e798a2a937,Stuart Briggman_Briggman west_8,CORN,Capture 5
60ad74e15f9e397c1be48837,john haug_John home_southwest,CORN,capture5
60ba5ddb4cfd9a9494272095,Stuart Briggerman_Briggerman West_19,CORN,Capture 6
60ad932f5f9e397c1be4e0d4,john haug_John home_southwest,CORN,capture 7
60bf7d880c5b4e56d8ca6700,tc groves_cornsilk farms_floys,CORN,capture 7
60c90357d0a12a7ebf4ecb17,rye randolph_randolph farms_holthouse,CORN,collection 2
60d2ce29b322a8eaffef2476,chris vonholten_von holten_symonds,CORN,capture6
609dbb150bc938007c89eb99,carson stewart_greenway test farm_northwest pivot,CORN,Capture 1
609cc60ff25217490ac68397,carson stewart_greenway test farm_northwest pivot,CORN,Capture 6
60a30e61189ea7ecd70e5e12,Wrights_TAMU Greenville_North Center,CORN,Collection 1
60bab0858fd8789e3a3793bb,Stuart Briggman_Briggman west_8,CORN,Capture 8
609cb6ea79f30b24c867a4c4,carson stewart_greenway test farm_northwest pivot,CORN,Capture 7
60bf548ba48a173d83024243,tc groves_cornsilk farms_floys,CORN,capture 3
609a24cd9928da46f2931303,whitaker_germania_1,CORN,capture 9
60ad89e34cb8727982ccec38,john haug_home_across creek,CORN,capture 8
60ba64b740a60519f21eb528,Stuart Briggerman_Briggerman West_19,CORN,Capture 3
60c9168fc581d667e91c0f15,rye randolph_randolph farms_holthouse,CORN,collection 1
609cda459a144e609c4ed43f,carson stewart_greenway test farm_furrow north,CORN,Capture 3
60ba657996aa951d51391db3,Stuart Briggman_Briggman west_8,CORN,Capture 6
60bad49999999474c91e6961,Stuart Briggerman_Briggerman West_19,CORN,Capture 8
609d6f6451983efa6031f484,carson stewart_greenway test farm_furrow north,CORN,Capture 4
60ad3bcc3cc3ab1a30029726,john haug_John home_southwest,CORN,capture 2
60a2fab9484060297029c50a,Wrights_TAMU Greenville_North Center,CORN,Collection 5
60a30fbc5708e9e329a78241,Wrights_TAMU Greenville_North Center,CORN,Collection 1
60baae5b9d67582bedb3bc9e,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 6
60bb13df31ba107f73581ab2,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 7
60785268077a09a023c64ae2,Condrey_Clearfield_C7,CORN,Run9
609d34c6642ae85d0926389f,carson stewart_greenway test farm_furrow north,CORN,Capture 5
60ad6eaebdddf03463a79363,john haug_home_across creek,CORN,capture 5
60bf584b0c5b4e56d8c97d09,tc groves_cornsilk farms_floys,CORN,capture 8
60d2bad3a5c7837d579f8f7b,chris vonholten_von holten_symonds,CORN,capture3
60d3391624b1d3492015256e,chris vonholten_von holten_symonds,CORN,capture2
609cc7e2f2b85e53b5bae8d8,carson stewart_greenway test farm_furrow north,CORN,Capture 6
60c906e6fa63fbbcad7980d7,rye randolph_randolph farms_holthouse,CORN,collection 5
609d703aef136efa02c0967c,carson stewart_greenway test farm_furrow north,CORN,Capture 8
6078ee105d646f3a640a0885,Condrey_Clearfield_C7,CORN,Run5
60c90eae0d5babef78ea9e18,rye randolph_randolph farms_holthouse,CORN,collection 5
60c8667ce43f9e485ed7ac69,rye randolph_randolph farms_holthouse,CORN,collection 7
609a0243b45aada9abdc1b20,whitaker_germania_1,CORN,capture 9
609a00edca874426a19ca039,whitaker_germania_1,CORN,capture 4
60ad4ead3cc3ab1a3002dec7,john haug_John home_southwest,CORN,capture5
60d33b3da1a6845084beabb1,chris vonholten_von holten_symonds,CORN,capture2
609d6e7b0bc938007c89ad0c,carson stewart_greenway test farm_furrow north,CORN,Capture 2
609d7fe45d65177a7e13b2b7,carson stewart_greenway test farm_northwest pivot,CORN,Capture 5
60d3111c62b5b9df03665d10,chris vonholten_von holten_symonds,CORN,capture4
608b932e1398936f1bb45323,Condrey_Clearfield_C7,CORN,Run1
608b7a401e31772cef0ed3b2,Condrey_Clearfield_C7,CORN,Run7
60d2c25fdc7812c407efcf7c,chris vonholten_von holten_symonds,CORN,capture5
60baaab0abc2a1e798a2c4ca,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 6
60ad413e889c511d8e58475b,john haug_home_across creek,CORN,capture 6
60ad3727a1cde31ef77f0e2d,john haug_John home_southwest,CORN,capture 2
60bae25cabc2a1e798a3642a,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 1
60a30233c376ad6bcff01026,Wrights_TAMU Greenville_North Center,CORN,Collection 5
60bf7771264052acb15a8453,tc groves_cornsilk farms_floys,CORN,capture 7
60baaf114cfd9a9494293f86,Stuart Briggman_Briggman west_8,CORN,Capture 9
60ba625499999474c91bd836,Stuart Briggerman_Briggerman West_19,CORN,Capture 2
609d7f9e3871ac77fd1dbe37,carson stewart_greenway test farm_furrow north,CORN,Capture 9
6099eeef9a144e609c4d8502,whitaker_germania_1,CORN,capture 5
60ad3a9997a9397da15bdb69,john haug_home_across creek,CORN,capture 6
60ada29c3078a040c7469cd9,john haug_home_across creek,CORN,capture 3
608b970d0b930a414df5bc72,Condrey_Clearfield_C7,CORN,Run8
607915ce88b8cdd0afb9fba0,Condrey_Clearfield_C7,CORN,Run5
60ba615499999474c91bce2e,Stuart Briggerman_Briggerman West_19,CORN,Capture 3
608ba91a3f6bf438549b65e3,Condrey_Clearfield_C7,CORN,Run4
60a301e7e1731e98cc138aff,Wrights_TAMU Greenville_North Center,CORN,Collection 6
60ad74f04ba50646f42a3646,john haug_John home_southwest,CORN,capture 7
60d330f0e335f4220ac77d17,chris vonholten_von holten_symonds,CORN,capture2
608b9870ffd15eb33f287d4f,Condrey_Clearfield_C7,CORN,Run1
609ca96f0bc938007c88fb7b,carson stewart_greenway test farm_northwest pivot,CORN,Capture 3
60a30357f5912de577038d0f,Wrights_TAMU Greenville_North Center,CORN,Collection 3
60a2fe82f10811c891f0ec12,Wrights_TAMU Greenville_North Center,CORN,Collection 6
60bf53d431ba107f735c1825,tc groves_cornsilk farms_floys,CORN,capture 8
60baa7d408b311de9f514324,Stuart Briggman_Briggman west_8,CORN,Capture 8
60adad2a5f9e397c1be531a8,john haug_home_across creek,CORN,capture 2
609d5075ef136efa02c07931,carson stewart_greenway test farm_furrow north,CORN,Capture 5
60d332791bbce8a7dd0d34d2,chris vonholten_von holten_symonds,CORN,capture7
6099f0143f810ceb80e1873a,whitaker_germania_1,CORN,capture 4
60bf7c8b07d59ac80b8b0ebd,tc groves_cornsilk farms_floys,CORN,capture 7
60ba86604f859b25d119a5cd,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 3
60c9027fb72570ab1eb71a35,rye randolph_randolph farms_holthouse,CORN,collection 4
60d309bddc7812c407f06568,chris vonholten_von holten_symonds,CORN,capture4
60ba6a7b31ba107f7354a244,Stuart Briggerman_Briggerman West_19,CORN,Capture 2
609cdafd0bc938007c8936f5,carson stewart_greenway test farm_furrow north,CORN,Capture1
60d2cd8024b1d349201398ba,chris vonholten_von holten_symonds,CORN,capture 1
60ad49aa97a9397da15c1588,john haug_John home_southwest,CORN,capture 4
60bf67753d3261cf2323890e,tc groves_cornsilk farms_floys,CORN,capture 5
609d830a642ae85d09268f7f,carson stewart_greenway test farm_northwest pivot,CORN,Capture 8
60c8e1e099976e978cfc596f,rye randolph_randolph farms_holthouse,CORN,collection 7
60badfe6583ddd2a8c9d47c0,Stuart Briggerman_Briggerman West_19,CORN,Capture 5
60ad80845f22bac57ee1ae26,john haug_home_across creek,CORN,capture 1
60a30c36bb5a6446db1f2a5d,Wrights_TAMU Greenville_North Center,CORN,Collection 5
609a1089eac18e126bd25772,whitaker_germania_1,CORN,capture 9
60bad8e67003764a9a62616f,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 2
60bab59d8fd8789e3a37a4aa,Stuart Briggerman_Briggerman West_19,CORN,Capture 8
60badffc886c208be8d50c72,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 2
60ba627d08b311de9f50689d,Stuart Briggerman_Briggerman West_19,CORN,Capture 3
60ada36c8815a149b6ca602e,john haug_home_across creek,CORN,capture 2
60c9009340dcbe4cf312411e,rye randolph_randolph farms_holthouse,CORN,collection 4
60bad4c0abc2a1e798a32a5a,Dustin Oehme s_Oehme s farm_Hanks Farm,CORN,Capture 1
60c8fb7a575ce285234adc3a,rye randolph_randolph farms_holthouse,CORN,collection 2
60bb54f431ba107f735988e6,Stuart Briggman_Briggman west_8,CORN,Capture 1
60bab4af4cfd9a9494295dd9,Stuart Briggerman_Briggerman West_19,CORN,Capture 5
609d86cf03021223f755f5c4,carson stewart_greenway test farm_furrow north,CORN,Capture 4
609da9aa642ae85d0926b7d6,carson stewart_greenway test farm_northwest pivot,CORN,Capture 9
609d55eb6034affa053297d4,carson stewart_greenway test farm_furrow north,CORN,Capture 5
